AD,ED,M/F,First,M,Last,Name on Ballot,Poll Location,Poll Address
51,1,f,Katherine,R,Mohrhauser,Katherine Mohrhauser,PS 169,4305 7 Avenue
51,1,M,John,V,Santore,John V. Santore,PS 169,4305 7 Avenue
51,11,F,Katherine,S,Livo,Katherine S. Livo,IS 88,544 7 Avenue
51,11,M,Robert,P,Jaffe,Robert P. Jaffe,IS 88,544 7 Avenue
51,11,M,Alexander,F,Low,Alexander F. Livo,IS 88,544 7 Avenue
51,12,M,Jason,M,Rochford,Jason M. Rochford,IS 88,544 7 Avenue
51,13,f,Khalid,J,Robina,Robina J. Khalid,IS 88,544 7 Avenue
51,13,M,Andrew,A,Bossie,Andrew A. Bossie,IS 88,544 7 Avenue
51,20,F,Sonja,E,Shield,Sonja Shield,Joseph A Miccio Community Center,110 West 9 Street
51,23,m,Christian,R,Hudon,Christian R. Hudon,IS 88,544 7 Avenue
51,28,m,James,,Taylor,James Taylor,PS 971,6214 4 Avenue
51,32,F,Katherine,P,Walsh,Katherine P. Walsh,Our Lady of Perpetual Help,552 59 Street
51,32,M,Peter,,Wong,Peter Wong,Our Lady of Perpetual Help,552 59 Street
51,34,F,Stephanie,,De Aza,Stephanie DeAza,PS 94,5010 6 Avenue
51,34,M,Frank,,McGovern,Frank McGovern,PS 94,5010 6 Avenue
51,40,M,Roberto,,Garcia,Roberto Garcia,Sunset Park HS,153 35 Street
51,42,M,Benjamin,Richard,Sullivan,Brian Richard Sullivan,IS 88,544 7 Avenue
51,47,f,Rachel,E,Johnson,Rachel E. Johnson,PS 331,7002 4 Avenue
51,47,M,John,,Biggs,John Biggs,PS 331,7002 4 Avenue
51,53,f,Somia,,Elrowmeim,Somia El-Rowmein,Sunset Park HS,153 35 Street
51,53,m,Kalid,H,El-Rowmeim,Kalid El-Rowmein,Sunset Park HS,153 35 Street
51,55,f,Katlyn,Lee,Milless,Katlyn Lee Milles,O.B.T.,783 4 Avenue
51,55,m,Andrew,Joseph,Saavedra,Andrew Joseph Saavedra,O.B.T.,783 4 Avenue
51,65,F,Genesis,,Aquino,Genesis Aquino,PS 506/503/314,343 60 Street
51,65,M,Matthew,,Cueter,Matthew Cueter,PS 506/503/314,343 60 Street
51,73,F,Victoria,,Hagman,Victoria K. Hagman,PS 15 New,71 Sullivan Street
51,73,M,Shawn,,Gettes,Shawn Gettes,PS 15 New,71 Sullivan Street
51,74,F,Nahisha,,McCoy,Nahisha McCoy,PS 15 New,71 Sullivan Street
51,74,M,David,,McCoy,David McCoy,PS 15 New,71 Sullivan Street
51,79,f,Colleen,,Hughes,Colleen Hughes,Marien-Heim of Sunset Park,4520 4th Avenue
51,83,F,Marie,E,Edesess,Marie E. Edesess,IS 88,544 7 Avenue
51,83,M,Sebastian,G,Hardy,Sebastian G. Hardy,IS 88,544 7 Avenue
